DNI;NOMBRE;APELLIDOS;EDAD;ESTATURA;PESO;LOCALIDAD;PROVINCIA;ESMUJER;HOBBIES
12345678A;JUAN;AFAN POSTIGO;22;1.78;69,9;SEVILLA;SEVILLA;NO;MARCHA/RUNNING/SENDERIMO
12345678B;NICOLAS;AGUILAR SAUCEDO;20;1.59;76,7;DOS HERMANAS;SEVILLA;NO;CICLISMO/GIMNASIO/PISCINA
12345678C;LUCAS;ACEJO GARCÍA;20;1.99;65,4;UTRERA;SEVILLA;NO;TENIS/GOLF/PINTURA
12345678D;CLAUDIA;ÁLVAREZ GARCÍA;21;1.94;57,9;VISO DEL ALCOR;SEVILLA;SI;FOTOGRAFÍA/CICLISMO
12345678E;PAULA;ALBENDÍN CAMINO;19;1.73;83;TOMARES;SEVILLA;SI;CINE/GIMNASIO/PISCINA
12345678F;ANA;LOBATO ÁLVAREZ;18;1.65;78,9;PUNTA UMBRÍA;HUELVA;SI;RUNNING/SENDERIMO/GIMNASIO/PISCINA
12345678G;ANTONIO;DÍAZ NARANJO;18;1.77;51,3;CHIPIONA;CÁDIZ;NO;GOLF/MARCHA/TEATRO
12345678H;SOFÍA;GUERRERO CANTARERO;20;1.56;72,7;CHIPIONA;CÁDIZ;SI;GIMNASIO
12345678I;JOSÉ;FIERRO ÁLVAREZ;22;1.74;78,6;SEVILLA;SEVILLA;NO;SENDERIMO/LECTURA/MARCHA/RUNNING
12345678J;CARLOS;GUERRERO PAREDES;22;1.69;59,7;DOS HERMANAS;SEVILLA;NO;LECTURA
12345678K;MARÍA;TRIGO PÉREZ;40;1.75;67,3;LEPE;HUELVA;SI;CINE/PISCINA
12345678L;ROCIO;BOLLO PANADERO;21;1.57;51,9;CHICLANA;CÁDIZ;SI;SENDERIMO/LECTURA/PISCINA/RUNNING
12345678M;CAROLINA;JACÍNTO DÍAZ;39;1.67;83,5;TOMARES;SEVILLA;SI;FOTOGRAFÍA/CICLISMO
12345678N;MARÍA;DÍAZ CARO;28;1.7;50;PUNTA UMBRÍA;HUELVA;SI;/PISCINA/RUNNING
12345678Ñ;JOSÉ MARÍA;PONCE LÓPEZ;18;1.98;84,5;CHIPIONA;CÁDIZ;NO;LECTURA/SENDERIMO/MARCHA/RUNNING
12345678P;BLANCA;CORRIENTE MESA;20;1.66;48,3;CHIPIONA;CÁDIZ;SI;MARCHA/RUNNING
12345678Q;DAVID;MARTÍNEZ RUIZ;28;1.57;80,1;CHIPIONA;CADIZ;NO;PISCINA/RUNNING/SENDERIMO/GIMNASIO
12345678R;SOFÍA;PAREDES ROMÁN;25;1.56;61,2;SAN FERNANDO;CADIZ;SI;TENIS/GOLF
12345678S;NOELIA;VÁZQUEZ VÁZQUEZ;23;1.62;54,2;SEVILLA;SEVILLA;SI;GOLF/TENIS
12345678T;ANTONIO;GÓMEZ GONZÁLEZ;34;1.6;74,7;CARMONA;SEVILLA;NO;TEATRO
12345678U;MARÍA DEL MAR;MUÑIZ VALDERRAMA;27;1.58;51,8;UTRERA;SEVILLA;SI;TEATRO/LECTURA
12345678W;ANTONIO;BELIDO ROMERO;22;1.8;55;VISO DEL ALCOR;SEVILLA;NO;MARCHA/RUNNING
12345678X;IRENE;TAMAYO GARCÍA;39;1.94;55,5;TOMARES;SEVILLA;SI;SENDERIMO/GIMNASIO/PISCINA
12345678Y;ALFONSO;GUTIERREZ RIU;18;1.57;81,8;LEPE;HUELVA;NO;TENIS/GOLF/FOTOGRAFÍA
12345678Z;MIGUEL ÁNGEL;ADRADO LUIS;28;1.94;57,3;SAN FERNANDO;CADIZ;NO;FOTOGRAFÍA
